hour_id_x,date,season_x,year_x,month_x,hour,holiday_x,weekday_x,working_day_x,weather_situation_x,temperature_x,apparent_temperature_x,humidity_x,windspeed_x,casual_x,member_x,count_x,hour_id_y,season_y,year_y,month_y,holiday_y,weekday_y,working_day_y,weather_situation_y,temperature_y,apparent_temperature_y,humidity_y,windspeed_y,casual_y,member_y,count_y,windspeed_category
1,2011-01-01,Winter,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,1,Winter,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Tenang
2,2011-01-01,Winter,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,1,Winter,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Tenang
3,2011-01-01,Winter,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,1,Winter,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Tenang
4,2011-01-01,Winter,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,1,Winter,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Tenang
5,2011-01-01,Winter,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,1,Winter,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Tenang
6,2011-01-01,Winter,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,1,Winter,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Tenang
7,2011-01-01,Winter,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,1,Winter,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Tenang
8,2011-01-01,Winter,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,1,Winter,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Tenang
9,2011-01-01,Winter,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,1,Winter,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Tenang
10,2011-01-01,Winter,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,1,Winter,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Tenang
11,2011-01-01,Winter,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,1,Winter,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Tenang
